match_number,team_a_source,team_b_source,team_a_source_type,team_b_source_type,team_a_group,team_a_position,team_b_group_options,team_b_position,source,confidence,notes,mapping_section,round,winner_to_match,loser_to_match_if_applicable,option_number,qualified_third_groups,slot_1A,slot_1B,slot_1D,slot_1E,slot_1G,slot_1I,slot_1K,slot_1L
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,57.0,"B,D,F,G,H,J,K,L",3H,3G,3B,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,58.0,"B,D,F,G,H,I,K,L",3H,3G,3B,3D,3I,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,59.0,"B,D,F,G,H,I,J,L",3H,3G,3B,3D,3J,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,60.0,"B,D,F,G,H,I,J,K",3H,3G,3B,3D,3J,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,61.0,"B,D,E,H,I,J,K,L",3E,3J,3B,3D,3I,3H,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,62.0,"B,D,E,G,I,J,K,L",3E,3J,3B,3D,3I,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,63.0,"B,D,E,G,H,J,K,L",3E,3J,3B,3D,3H,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,64.0,"B,D,E,G,H,I,K,L",3E,3G,3B,3D,3I,3H,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,65.0,"B,D,E,G,H,I,J,L",3E,3J,3B,3D,3H,3G,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,66.0,"B,D,E,G,H,I,J,K",3E,3J,3B,3D,3H,3G,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,67.0,"B,D,E,F,I,J,K,L",3E,3J,3B,3D,3I,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,68.0,"B,D,E,F,H,J,K,L",3E,3J,3B,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,69.0,"B,D,E,F,H,I,K,L",3E,3I,3B,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,70.0,"B,D,E,F,H,I,J,L",3E,3J,3B,3D,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,71.0,"B,D,E,F,H,I,J,K",3E,3J,3B,3D,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,72.0,"B,D,E,F,G,J,K,L",3E,3G,3B,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,73.0,"B,D,E,F,G,I,K,L",3E,3G,3B,3D,3I,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,74.0,"B,D,E,F,G,I,J,L",3E,3G,3B,3D,3J,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,75.0,"B,D,E,F,G,I,J,K",3E,3G,3B,3D,3J,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,76.0,"B,D,E,F,G,H,K,L",3E,3G,3B,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,77.0,"B,D,E,F,G,H,J,L",3H,3G,3B,3D,3J,3F,3L,3E
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,78.0,"B,D,E,F,G,H,J,K",3H,3G,3B,3D,3J,3F,3E,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,79.0,"B,D,E,F,G,H,I,L",3E,3G,3B,3D,3H,3F,3L,3I
